Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_idAAAAgen11_uff_E=3389.13,-11.0, 0.000, 0.000
6LU7_idAAAAgen11_uff_E=3389.13,-10.7, 2.410, 6.314
6LU7_idAAAAgen11_uff_E=3389.13,-10.5, 3.069, 6.848
6LU7_idAAAAgen11_uff_E=3389.13,-10.5, 1.304, 5.617
6LU7_idAAAAgen11_uff_E=3389.13,-10.3, 2.777, 6.379
6LU7_idAAAAgen11_uff_E=3389.13, -9.9, 3.977, 6.242
6LU7_idAAAAgen11_uff_E=3389.13, -9.9, 6.428,11.495
6LU7_idAAAAgen11_uff_E=3389.13, -9.8, 6.497,10.786
6LU7_idAAAAgen11_uff_E=3389.13, -9.7, 2.509, 5.217
6LU7_idAAAAgen11_uff_E=95.55, -4.1, 0.000, 0.000
6LU7_idAAAAgen11_uff_E=95.55, -3.9,17.701,18.186
6LU7_idAAAAgen11_uff_E=95.55, -3.9,32.004,33.695
6LU7_idAAAAgen11_uff_E=95.55, -3.9,30.521,32.016
6LU7_idAAAAgen11_uff_E=95.55, -3.9, 1.056, 3.725
6LU7_idAAAAgen11_uff_E=95.55, -3.9,31.145,32.289
6LU7_idAAAAgen11_uff_E=95.55, -3.8,17.826,18.385
6LU7_idAAAAgen11_uff_E=95.55, -3.8, 1.611, 3.222
6LU7_idAAAAgen11_uff_E=95.55, -3.7,27.955,29.171
6LU7_idAAABgen11_uff_E=1446.49,-12.2, 0.000, 0.000
6LU7_idAAABgen11_uff_E=1446.49,-12.0, 1.241,23.660
6LU7_idAAABgen11_uff_E=1446.49,-11.8,14.643,26.557
6LU7_idAAABgen11_uff_E=1446.49,-11.8, 2.027, 9.084
6LU7_idAAABgen11_uff_E=1446.49,-11.5, 1.149,17.656
6LU7_idAAABgen11_uff_E=1446.49,-11.5,14.478,29.456
6LU7_idAAABgen11_uff_E=1446.49,-11.3,12.312,26.410
6LU7_idAAABgen11_uff_E=1446.49,-11.3,12.803,30.846
6LU7_idAAABgen11_uff_E=1446.49,-11.2,27.375,33.768
6LU7_idAAABgen11_uff_E=45.53, -3.8, 0.000, 0.000
6LU7_idAAABgen11_uff_E=45.53, -3.8, 2.351, 2.944
6LU7_idAAABgen11_uff_E=45.53, -3.7,19.054,19.597
6LU7_idAAABgen11_uff_E=45.53, -3.6,19.026,19.716
6LU7_idAAABgen11_uff_E=45.53, -3.5, 2.587, 3.447
6LU7_idAAABgen11_uff_E=45.53, -3.4,56.524,57.592
6LU7_idAAABgen11_uff_E=45.53, -3.4, 9.558,10.936
6LU7_idAAABgen11_uff_E=45.53, -3.4,31.941,32.627
6LU7_idAAABgen11_uff_E=45.53, -3.4,25.160,26.025
6LU7_idAAACgen11_uff_E=11177.40,-11.9, 0.000, 0.000
6LU7_idAAACgen11_uff_E=11177.40,-11.3, 2.391, 4.505
6LU7_idAAACgen11_uff_E=11177.40,-11.3,31.185,37.297
6LU7_idAAACgen11_uff_E=11177.40,-11.1, 5.224,13.803
6LU7_idAAACgen11_uff_E=11177.40,-11.0, 5.174,12.776
6LU7_idAAACgen11_uff_E=11177.40,-10.8,15.966,18.179
6LU7_idAAACgen11_uff_E=11177.40,-10.7,18.960,26.010
6LU7_idAAACgen11_uff_E=11177.40,-10.5,30.966,37.227
6LU7_idAAACgen11_uff_E=11177.40,-10.5,39.708,45.458
6LU7_idAAACgen11_uff_E=95.55, -3.9, 0.000, 0.000
6LU7_idAAACgen11_uff_E=95.55, -3.9,17.511,17.953
6LU7_idAAACgen11_uff_E=95.55, -3.8,18.006,18.703
6LU7_idAAACgen11_uff_E=95.55, -3.8,18.021,18.667
6LU7_idAAACgen11_uff_E=95.55, -3.5,23.982,25.318
6LU7_idAAACgen11_uff_E=95.55, -3.3,21.395,23.084
6LU7_idAAACgen11_uff_E=95.55, -3.3, 1.921, 2.681
6LU7_idAAACgen11_uff_E=95.55, -3.3,24.883,26.044
6LU7_idAAACgen11_uff_E=95.55, -3.3,18.340,19.138
6LU7_idAAADgen11_uff_E=135.59, -5.0, 0.000, 0.000
6LU7_idAAADgen11_uff_E=135.59, -4.9, 1.525, 2.730
