Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_idAAAAgen4_uff_E=182.10, -3.6, 0.000, 0.000
6LU7_idAAAAgen4_uff_E=182.10, -3.6, 2.423, 3.481
6LU7_idAAAAgen4_uff_E=182.10, -3.6, 2.435, 2.839
6LU7_idAAAAgen4_uff_E=182.10, -3.5, 1.109, 3.283
6LU7_idAAAAgen4_uff_E=182.10, -3.5,19.664,20.945
6LU7_idAAAAgen4_uff_E=182.10, -3.5,19.575,20.620
6LU7_idAAAAgen4_uff_E=182.10, -3.5, 1.984, 2.289
6LU7_idAAAAgen4_uff_E=182.10, -3.5, 1.995, 3.204
6LU7_idAAAAgen4_uff_E=182.10, -3.3,18.090,18.384
6LU7_idAAABgen4_uff_E=0.00, -2.2, 0.000, 0.000
6LU7_idAAABgen4_uff_E=0.00, -2.2, 0.417, 2.049
6LU7_idAAABgen4_uff_E=0.00, -2.1,17.910,18.075
6LU7_idAAABgen4_uff_E=0.00, -2.1,17.872,17.973
6LU7_idAAABgen4_uff_E=0.00, -2.1,54.963,55.279
6LU7_idAAABgen4_uff_E=0.00, -2.0,11.809,12.381
6LU7_idAAABgen4_uff_E=0.00, -2.0,47.529,47.886
6LU7_idAAABgen4_uff_E=0.00, -2.0,30.992,31.405
6LU7_idAAABgen4_uff_E=0.00, -2.0,55.586,55.929
6LU7_idAAACgen4_uff_E=182.10, -3.6, 0.000, 0.000
6LU7_idAAACgen4_uff_E=182.10, -3.6, 0.033, 2.979
6LU7_idAAACgen4_uff_E=182.10, -3.6,17.869,18.871
6LU7_idAAACgen4_uff_E=182.10, -3.6,17.603,18.583
6LU7_idAAACgen4_uff_E=182.10, -3.5,17.989,18.944
6LU7_idAAACgen4_uff_E=182.10, -3.5,19.864,20.881
6LU7_idAAACgen4_uff_E=182.10, -3.5,19.980,21.177
6LU7_idAAACgen4_uff_E=182.10, -3.5,17.569,19.114
6LU7_idAAACgen4_uff_E=182.10, -3.4, 2.703, 3.715
6LU7_idAAADgen4_uff_E=0.00, -2.2, 0.000, 0.000
6LU7_idAAADgen4_uff_E=0.00, -2.2, 0.050, 2.020
6LU7_idAAADgen4_uff_E=0.00, -2.2,17.817,18.052
6LU7_idAAADgen4_uff_E=0.00, -2.2,17.812,17.991
6LU7_idAAADgen4_uff_E=0.00, -2.0,30.973,31.415
6LU7_idAAADgen4_uff_E=0.00, -2.0,48.086,48.495
6LU7_idAAADgen4_uff_E=0.00, -2.0,23.452,24.013
6LU7_idAAADgen4_uff_E=0.00, -1.9,47.129,47.544
6LU7_idAAADgen4_uff_E=0.00, -1.9,29.566,30.023
6LU7_idAAAEgen4_uff_E=182.10, -3.7, 0.000, 0.000
6LU7_idAAAEgen4_uff_E=182.10, -3.6,17.555,17.767
6LU7_idAAAEgen4_uff_E=182.10, -3.6,17.568,17.761
6LU7_idAAAEgen4_uff_E=182.10, -3.6,17.663,18.663
6LU7_idAAAEgen4_uff_E=182.10, -3.6,17.672,18.707
6LU7_idAAAEgen4_uff_E=182.10, -3.5,31.034,31.619
