id,gen,smile,source,weight,logp,score
AAXI,2,CC1=CC=C2C(=O)OC(=O)C(Cc3ccccc3)NC(=O)C(C)=CCCN(C)C=CC=CC=C2NC(=O)C2=CC=C(C=CC(C#N)=CC=CC2)CC(=O)NC1=O,generated,753.856,4.873580000000004,-11.2
AAHF,4,CC1=CC=C(C)C(=O)NN2CCN3CC(=O)NC(C)C=CC=CC=C(C(=O)N1)C(=O)C(=CC=CCCC(=O)OC3=CC=CC=C1C=CC=CC=C1)C2=O,generated,717.8230000000003,4.0801000000000025,-11.2
AAUE,4,CC1CCC(NN=C2CCCC=CC=C(NC(=O)c3ccccc3)OCCCCC=CC=CC=C3CC3N=CC=CC=CC=CC=CC=NC=C3C=CC=CC=C(CC3)CC2)=CC=C(O)C1O,generated,900.2210000000001,12.92119999999998,-11.0
ABIM,3,CCCC1(C)C=CC=CC=C2C(C#N)=CC=C2CCc2ccccc2N(C=CC(=O)N2CCN(C(=O)c3cccc(F)c3)CC2)CC(C)C1,generated,658.862,8.337980000000007,-10.7
AANR,3,CC1CCCCC(NC(=O)N2CCC(c3ccccc3)CC2)C2=CC=C(Nc3ccccc3)C(OC2=O)C(=O)Nc2ccc(C#N)cc2CC1,generated,671.842,7.445080000000008,-10.6
ABLK,4,O=C(NC1=CC=CC(OC2C=CC(c3ccccc3)CC2)C1)N1CCC(N(CC2=CC=CC(Cc3nnnnn3)CCc3ccccc32)c2ccccc2)C1,generated,732.9330000000001,7.428200000000009,-10.3
ABIG,3,CC1C=CC(C(=O)Nc2nnnn2-c2ccccc2-c2ccccc2)CC1,generated,359.43300000000016,3.8701000000000025,-10.2
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,746.9090000000001,4.9372000000000025,-10.1
ABBW,3,Cc1ccc(C=CC=CC=CC(=O)N2CCC(c3ccc(NC(=O)C4CCC(C)c5ccccc54)nn3)C2=O)cc1,generated,546.6710000000003,6.072920000000006,-10.0
ABJU,2,Cc1cc(C(C)NC(=O)Cn2c(=O)oc3ccccc32)ccc(CC2=CC(C(F)(F)F)C(O)CC2)nc(C(C)(C)C)c(=O)[nH]c(=O)c2ccccc2c2ccccc12,generated,794.871,7.8786200000000095,-9.9
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,461.56200000000024,4.737500000000005,-9.9
